Id no.;Verbal image (EN);Verbal image + co-text (EN);Verbal image (orig. if not EN);Author;Text;Genre;Line(s);Noted by;Full comment;Sense(s) elicited;Perception flag (PF);Metaphor;Deixis;Foregrounding (position);Foregrounding (devices);Size (syllables);Size (words);Size (characters, no spaces);No of lines;IMAG rate of Head (approximated);IMAG rate of Head (precise);Thematic core
064;"With broaden’d Nostrils to the Sky upturn’d, / The conscious Heifer snuffs the stormy Gale. / Even as the Matron, at her nightly Task, / With pensive Labour draws the flaxen Thread, / The wasted Taper and the crackling Flame / Foretel the Blast. But chief the plumy Race, / The Tenants of the Sky, its Changes speak. / Retiring from the Downs, where all Day long /
They pick’d their scanty Fare, a blackening Train / Of clamorous Rooks thick-urge their weary Flight, / And seek the closing Shelter of the Grove";;;Thompson, James;Winter;Poetry;132-142;Jung  (2013: 591);Man and animal are related to each other in that the taper representing the domestic realm of the “Matron” at work at night provides an analogous foretelling of the “Blast.” In this complex image of nature’s response to the storm, Thomson, while presenting the heifer, matron, and birds sequentially, aims to contract all beings into a realm of simultaneity. ;"visual; olfactory; auditory;";PF (broaden'd Nostrils);;" (the; her; they)";;;110;83;408;11;6,8;6,824;L2-W4
065;"A louely Ladie rode him faire beside, /
Vpon a lowly Asse more white then snow, / Yet she much whiter, but the same did hide / Vnder a vele, that wimpled was full low, / And ouer all a blacke stole shee did throw, / As one that inly mournd: so was she sad, / And heauie sat vpon her palfrey slow; / Seemed in heart some hidden care she had  / And by her in a line a milkewhite lambe she lad. ";;;Spenser, Edmund;The Faerie Queene 1.1.4;Poetry;1-9;Falck (2013: 17);His descriptions of such moments are either extremely vague, or deliberate, though not obvious, descriptions of the in- describable.40 Spenser’s introduction of Una purportedly offers useful visual clues, but cumulatively stresses her inadequacy as a signifying image: ;visual;PF (beside);WOMAN IS SNOW;" (she; her; him)"; (text-initial);;90;76;299;9;6,8;6,844;S2
066;What’s a Protector he’s a stately thing / That Apes it in the non-age of a King. / A Tragic Actor, Caesar in a Clowne / He’s a brass farthing, stamped with a Crowne. /. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .;;;Anonymous ;Untitled;Poetry;;Cohen (2010: 158);here the coin’s image operates to signify value as well as cultural memory. The register of coinage and in particular the accusation of counterfeiting presents an opportunity to interrupt the manufacturing of official memory and the determination of value, derailing what Foucault called the “deferred exchange” at the heart of monetary representation.;"visual; auditory";;PERSON IS COIN; (he);;;40;35;129;4;6,8;6,765;S2
067;There I met him, like some ghost, I suppose.;;;Brontë, Jane Emily;Villette;Prose (Fiction);;Hughes (2000: 720);This concern with the liminal status of remembered images and feelings, with respect to chronology, consciousness, and the material world, can obviously be related to many further aspects of the text not yet fully discussed, for instance, its recurrent vocabulary of ghosts, apparitions, and reflections—its vocabulary of a world haunted by disembodied images:;visual;PFs (met, like);PERSON IS GHOST;" (I; him)";;;;9;36;;5,3;5,273;S2-S9
068;She came, however, instantly, like a small ghost gliding over the carpet.;;;Brontë, Jane Emily;Villette;Prose (Fiction);;Hughes (2000: 720);This concern with the liminal status of remembered images and feelings, with respect to chronology, consciousness, and the material world, can obviously be related to many further aspects of the text not yet fully discussed, for instance, its recurrent vocabulary of ghosts, apparitions, and reflections—its vocabulary of a world haunted by disembodied images:;"visual; haptic";PFs (came, like);PERSON IS GHOST;" (she; the)";;;;12;62;;6,3;6,343;S2-S9
069;I should have understood what we call a ghost, as well as I did the commonest object;"At first I knew nothing I looked on: a wall was not a wall—a lamp not a lamp. [I should have understood what we call a ghost, as well as I did the commonest object]; which is another way of intimating that all my eye rested on struck it as spectral. But the faculties soon settled each in its place";;Brontë, Jane Emily;Villette;Prose (Fiction);;Hughes (2000: 720);This concern with the liminal status of remembered images and feelings, with respect to chronology, consciousness, and the material world, can obviously be related to many further aspects of the text not yet fully discussed, for instance, its recurrent vocabulary of ghosts, apparitions, and reflections—its vocabulary of a world haunted by disembodied images:;visual;"PFs (looked on; understood; as well as)";THINGS ARE GHOSTS;" (I; we)";;;;17;68;;5,3;5,273;S9-O2
070;the third person as well as the other two—and for the fraction of a moment, believed them all strangers;I noted them all—[the third person as well as the other two—and for the fraction of a moment, believed them all strangers], thus receiving an impartial impression of their appearance. But the impression was hardly felt and not fixed, before the consciousness that I faced a great mirror . . . the party was our own party.;;Brontë, Jane Emily;Villette;Prose (Fiction);;Hughes (2000: 720);This concern with the liminal status of remembered images and feelings, with respect to chronology, consciousness, and the material world, can obviously be related to many further aspects of the text not yet fully discussed, for instance, its recurrent vocabulary of ghosts, apparitions, and reflections—its vocabulary of a world haunted by disembodied images:;visual;"PFs (noted; believed)";; (them);;;;20;85;;6,1;6,147;S2
071;The golden sun in splendour likest heaven / Allured his eye;"then from pole to pole / He views in breadth, and without longer pause / Down right into the world’s first region throws / His flight precipitant, and winds with ease / Through the pure marble air his oblique way / Amongst innumerable stars, that shone  / Stars distant, but nigh hand seemed other worlds, / Or other worlds they seemed, or happy isles, / Like those Hesperian gardens famed of old, / Fortunate fields, and groves and flowery vales, / Thrice happy isles, but who dwellt happy there / He stayed not to inquire: above them all / [The golden sun in splendour likest heaven / Allured his eye]: thither his course he bends. 
";; Milton, John;Paradise Lost, Book III;Poetry;560-573;Staykova (2013: 163);Then it erupts into violent motion as Satan, no longer lingering to watch stars recede into darkness, continues his “oblique” journey toward the bright spot of the sun, an image more alluring than the rest: ;visual;"PFs (likest;allured his eye)";SUN IS HEAVEN; (his);;;14;10;48;2;6,8;6,794;W1-S9
072;As when a griffin through the wilderness / With wingèd course o’er hill or moory dale, / Pursues the Arimaspian, who by stealth / Had from his wakeful custody purloined / The guarded gold: so eagerly the fiend  /  O’er bog or steep, through straight, rough, dense, or rare, / With head, hands, wings, or feet pursues his way. ;;;Milton, John;Paradise Lost, Book II;Poetry;943-9;Staykova (2013: 173);This integration of movement with mass to convey a heavier, emphatic pace is portrayed in the griffin simile (2.943–9) that likens Satan winging his course through the wastes of chaos to the mythological griffin pursuing the Arimaspian thieves. The pained and strenuous movement of the winged creature (Whaler defines the point of comparison as the “eager but laborious speed of wings”) slows down the motion and holds the scene in focus.26 Grammatical tenses shift to capture the image in a protracted present moment:;visual;PF (as when);ENEMY IS ANIMAL;;;;70;53;260;7;6,9;6,912;L2-S9
073;How like a deer, strooken by many princes, Dost thou here lie!;"Pardon me, Julius! Here wast thou bay’d, brave hart, / Here didst thou fall, and here thy hunters stand, / Sign’d in thy spoil, and crimson’d in thy lethe. / O world! thou wast the forest to this hart, /
And this indeed, O world, the heart of thee. [How like a deer, strooken by many princes, Dost thou here lie!]";;Shakespeare, William;Julius Caesar (Act III, Scene I);Drama;215-221;Carson (2005: 537);Confronting the conspirators, Antony invokes a powerfully poignant image: he paints the fallen Caesar as a noble yet helpless stag. Bayed, the Roman emperor finds he cannot claw his way out, but must submit to the fatal violence of the treasonous mob.;"visual; haptic";PF (like);PERSON IS ANIMAL;" (me; here; thou; thee; thy; this)";;;14;12;51;1;6,8;6,767;S2-L2
074;"The Stag no hope had left, nor help did ’spy, / His Heart so heavy grew with Grief and Care, / That his small Feet his Body scarce could bear; / Yet loath to Dye, or yield to Foes was he, /  And to the last would strive for Victory. ";;; Cavendish, Margaret;The hunting of a stag;Poetry;120-124;Carson (2005: 547);While Cavendish and Denham use the image of the deer as an object of pity and also as a vessel through which people might vicariously experience desperation and pain, Andrew Marvell utilizes his fawn in a slightly different manner. ;visual;;;" (the; his; he)";;;50;46;178;5;6,8;6,788;L2
075;"I Hope, some true Historian will impart, / his Observations on this Royall HART; / which was so Foully Hunted, and became, / so great a Prey; to such as scorn'd ";;;  Sadler, Anthony;The Loyall Mourner, Shewing the Murdering of King Charles the First Shewing the Restoring of King Charles the Second., 2d edn.  (London, 1648, 1660), p. 6, see. VI;Poetry;140-144;Carson (2005: 550); In an elegy published the year of Charles's execution and later presented to Charles II upon his restoration to the throne, Anthony Sadler, depending on the usual litany of mournful prayer and funereal utterance, also incorporates the image of the hunted hart;visual;PF (Observations);; (this);; (rhyme);40;28;127;4;6;5,964;L2
076;"I shall put you in mind, sir: at Pie Corner, / Taking your meal of steam in from cooks’ stalls, / Where, like the father of hunger, you did walk / Piteously costive, with your pinched-horn nose / . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .
When you went pinned up in the several rags / You’d raked and picked from dunghills before day, / Your feet in moldy slippers for your kibes,  / A felt of rug, and a thin threaden cloak / That scarce would cover your no-buttocks.";;;Johnson, Ben;The Alchemist, Act I, Scene I;Drama;25-37;Gail Kern Paster (1987), cited in Mulder (2021: 68);In a germinal reading of the scene, Gail Kern Paster argues that “Subtle and Face each try to set before the other’s memorializing imagination the image of an embarrassing earlier body, as if the past self-in-the-body were the inner, the naked, the irreducible self making the present construction shamefully transparent and inessential. ;visual;"PFs (put you in mind; like)";PERSON IS HUNGER;" (you; your; sir)";;;90;76;336;9;6,8;6,828;S2-B1
077;a bell;"Subtle. He first shall have [a bell], that’s Abel; / And by it standing one whose name is Dee, / In a rug gown; there’s D, and rug, that’s Drug; / And right anenst him, a Dog snarling “er”— / There’s Drugger, Abel Drugger. That’s his sign. ";;Johnson, Ben;The Alchemist, Act II, Scene IV;Drama;19;Mulder (2021: 72);Subtle describes a series of images he envisions for Drugger:;"visual; auditory";;;" (he; his)";;" (parallelism; list)";2;2;5;1;6,7;6,735;O2
078;one whose name is Dee, / In a rug gown;"Subtle. He first shall have a bell, that’s Abel; / And by it standing [one whose name is Dee, / In a rug gown]; there’s D, and rug, that’s Drug; / And right anenst him, a Dog snarling “er”— / There’s Drugger, Abel Drugger. That’s his sign. ";;Johnson, Ben;The Alchemist, Act II, Scene IV;Drama;20-21;Mulder (2021: 72);Subtle describes a series of images he envisions for Drugger:;visual;PF (by it standing);;" (he; his)";;" (parallelism; list)";9;9;28;2;5,8;5,774;S2
079;a Dog snarling “er”;"Subtle. He first shall have a bell, that’s Abel; / And by it standing one whose name is Dee, / In a rug gown; there’s D, and rug, that’s Drug; / And right anenst him, [a Dog snarling “er”]— / There’s Drugger, Abel Drugger. That’s his sign. ";;Johnson, Ben;The Alchemist, Act II, Scene IV;Drama;22;Mulder (2021: 72);Subtle describes a series of images he envisions for Drugger:;"visual; auditory";PF (right anenst him);;" (he; his)";;" (parallelism; list)";5;4;16;1;6,9;6,889;L2
080; a strong mast that lived upon the sea,; I saw your brother, / Most provident in peril, bind himself, / Courage and hope both teaching him the practice, / To [a strong mast that lived upon the sea], / Where, like Arion on the dolphin’s back, / I saw him hold acquaintance with the waves /  So long as I could see.;; Shakespeare, William;Twelfth Night, or What You Will, Act I, Scene II;Drama;11-17;Mentz (2019: 390);The sexual image of the strong mast and the pun on female genitalia in “acquaintance” contrast Sebastian’s erotic swimming with Ferdinand’s struggle—though Ferdinand’s island princess fantasy also anticipates sexist Polynesian tall tales from Melville to Paul Gauguin. ;visual;PF (saw);MAST IS PERSON;;;;9;8;31;1;6,7;6,706;H2
081;The slave ship at sea;"[The slave ship at sea] produced an African narrative of persistent and  often lonely attempts among the captives to continue to function as  subjective beings—persons possessing independent will and agency. Women who exhausted themselves to death in their futile efforts to attend to the needs of their infants; captives who helped care for one 
another when disease invariably struck; and strangers who facilitated communication between speakers of mutually-unintelligible languages—by such simple acts, all demonstrated the determination required to live as a human being rather than exist as an object aboard the slave ship at sea. (122";; Smallwood, Stephanie;Saltwater slavery: a middle passage from Africa to America;Prose (academic);;Gikandi (2015: 89);The image of the ships crossing this passage would be imagined by Paul  Gilroy as a trope for mapping black responses to “modernity’s promise and failures” (5);visual;;;; (text-initial);;;5;17;;6,7;6,706;M4
082; bosoms heave;"With bliss botanic as their [bosoms heave], /  Still pluck  forbidden fruit, with mother Eve, / For puberty in sighing florets pant, /  Or point the prostitution of a plant; / Dissect its organ of unhallow'd lust, /
And fondly gaze the titillating dust. ";; Polwele, Richard;The unsex'd females, a poem;Poetry;29-34;Lafleur (2013: 94);"This series of lusty images—heaving bosoms, ""forbidden fruit,"" ""pant[ing],"" ""prostitution,"" and the plant's ""organ of unhallow'd lust""—render Pol whele's tract perhaps more pornographic than even Loves of the Plants, the poem it satirizes";"visual; haptic";;; (their);;;3;2;11;1;5,2;5,242;B1
083;forbidden fruit;"With bliss botanic as their bosoms heave, /  Still pluck  [forbidden fruit], with mother Eve, / For puberty in sighing florets pant, /  Or point the prostitution of a plant; / Dissect its organ of unhallow'd lust, /
And fondly gaze the titillating dust. ";; Polwele, Richard;The unsex'd females, a poem;Poetry;29-34;Lafleur (2013: 94);"This series of lusty images—heaving bosoms, ""forbidden fruit,"" ""pant[ing],"" ""prostitution,"" and the plant's ""organ of unhallow'd lust""—render Pol whele's tract perhaps more pornographic than even Loves of the Plants, the poem it satirizes";visual;;GENITALIA IS FRUIT;;;;4;2;14;1;6,8;6,8;L3
084;pant;"With bliss botanic as their bosoms heave, /  Still pluck  forbidden fruit, with mother Eve, / For puberty in sighing florets [pant], /  Or point the prostitution of a plant; / Dissect its organ of unhallow'd lust, /
And fondly gaze the titillating dust. ";; Polwele, Richard;The unsex'd females, a poem;Poetry;29-34;Lafleur (2013: 94);"This series of lusty images—heaving bosoms, ""forbidden fruit,"" ""pant[ing],"" ""prostitution,"" and the plant's ""organ of unhallow'd lust""—render Pol whele's tract perhaps more pornographic than even Loves of the Plants, the poem it satirizes";auditory;;PUBERTY IS PERSON;;;;1;1;4;1;;;B1
085;prostitution;"With bliss botanic as their bosoms heave, /  Still pluck  forbidden fruit, with mother Eve, / For puberty in sighing florets pant, /  Or point the [prostitution] of a plant; / Dissect its organ of unhallow'd lust, /
And fondly gaze the titillating dust. ";; Polwele, Richard;The unsex'd females, a poem;Poetry;29-34;Lafleur (2013: 94);"This series of lusty images—heaving bosoms, ""forbidden fruit,"" ""pant[ing],"" ""prostitution,"" and the plant's ""organ of unhallow'd lust""—render Pol whele's tract perhaps more pornographic than even Loves of the Plants, the poem it satirizes";visual;;PLANT IS SEX WORKER;;;;4;1;12;1;6;6 (prostitute);G2
086;organ of unhallow'd lust;"With bliss botanic as their bosoms heave, /  Still pluck  forbidden fruit, with mother Eve, / For puberty in sighing florets pant, /  Or point the prostitution of a plant; / Dissect its [organ of unhallow'd lust], /
And fondly gaze the titillating dust. ";; Polwele, Richard;The unsex'd females, a poem;Poetry;29-34;Lafleur (2013: 94);"This series of lusty images—heaving bosoms, ""forbidden fruit,"" ""pant[ing],"" ""prostitution,"" and the plant's ""organ of unhallow'd lust""—render Pol whele's tract perhaps more pornographic than even Loves of the Plants, the poem it satirizes";visual;;; (its);;;5;4;21;1;5,8;5,774;B1
087;passion had not subsided into a calm, and have drooped, like the rose, or lilly, on its dislocated stalk;;;Mann, Herman ;The female review;Prose (biography);;Lafleur (2013: 122);"This reader should understand why Sampson's Baltimore lover's ""passion had not subsided into a calm, and have drooped, like the rose, or lilly, on its dislocated stalk."" This obviously phallic image offers a fascinating botanical and metaphoric illustration of Mann's narrator's understanding of the possibility for sexual love between a woman and a mannish woman, or a woman living as a man. ";visual;PF (like);EMOTION IS FLOWER;;;;;19;86;;6,8;6,824;E2-L3
088;we are / Almost as like eggs;Thou wantst a rough pash and the shoots that I have, / To be full like me. Yet they say [we are /  Almost as like as eggs]—women say so, / That will say anything;; Shakespeare, William;The winter's tale, Act I, Scene II;Drama;128-131;Passannante (2013: 996);The eggs here are proverbial, and Leontes mentions them almost in passing, but the image points us to one of the larger problems of the play: how we know for certain the things we think we know. These eggs recall a discussion about the nature of knowledge from Cicero's Academica where we find Lucullus, the Stoic representative in the dialogue, debating with the skeptics, who hold that certain knowledge is impossible. The example of the eggs comes up when Lucullus is refuting the contention that false presentations are not discernible from true ones and responding to the various instances of resemblance the skeptics used to make their case (twins, eggs, seals in wax). For the Stoics, the experience of examining eggs—which often look alike— shows how close inspection can reveal small differences between seemingly identical object;visual;PF (as like as);PEOPLE ARE EGGS;;;;7;6;26;2;6,6;6,647;S2-L2
089;Cannon's face;"Did you ever look in a [Cannon’s face] – / Between whose Yellow eye –  / And your’s – the Judgment intervened – / The Question of “To die” – /
Extemporizing in your ear / As cool as Satyr’s Drums – / If you remember, and were saved – /  It’s liker so – it seems –";;Dickinson, Emily;639;Poetry;1;Petrino (2018: 241);In a strikingly similar image written during the Civil War, Emily Dickinson invokes the cannon’s “face” that confronts the soldier, who is left with a view of life that is fitter for one who has died: ;visual;PF (look into);WEAPON IS PERSON;; (text-initial);;3;3;12;1;6,4;6,414;G3-B1
090;cannon's mouth;Is this he who scorn’d / His heaven sworn duties, and his humble home, / And chose his pittance from the [cannon’s  mouth]?”;;Sigourney, Lydia ;The Volunteer;Poetry;48-50;Petrino (2018: 241);In a strikingly similar image written during the Civil War, Emily Dickinson invokes the cannon’s “face” that confronts the soldier, who is left with a view of life that is fitter for one who has died: ;visual;;WEAPON IS PERSON; (the);;;3;3;13;1;6,7;6,69;G3-B1
091;broken heart;;;;;Discourse;;Franke (1997: 400);"Finally, its generally comprehensible lyrics contain nu-
 merous cliches, the most prominent of which is certainly the image of the ""broken heart"".";visual;;HEART IS OBJECT;;;;;2;11;;6,4;6,393;B1-O2
092;parched Corolla / Like Azure dried;The Gentian has a [parched Corolla - / Like Azure dried] / ’Tis Nature’s buoyant juices / Beatified - / Without a vaunt or sheen / As casual as Rain / And as benign - / When most is past - it comes - Nor isolate it seems - / It’s Bond it’s Friend - / To fill it’s Fringed career /  And aid an aged Year Abundant end - / It’s lot - were it forgot - / This Truth endear - / Fidelity is gain / Creation o’er-;;Dickinson, Emily ;458;Poetry;1-2;Kang (2018: 245);"In this poem, the most striking image about the gentian is its “parched Corolla” which resembles “Azure dried.” The phrases “parched” and “dried” suggest the loss of water from heat. In terms of texture, the gentian does not differ from other plants. Why does Dickinson emphasize its dryness? Loeffelholz observes that this poem, probably inspired by Dickinson’s  herbarium, challenges the implication of this plant and “other cultural 
construct about female bodily agedness.”";"visual; haptic";PF (like);FLOWER IS PRECIOUS STONE;; (text-initial);;9;5;28;2;6,8;6,788;L3
093;A woman exposed as rock / has this advantage: / she controls the harbor;;; Glück, Louise;Aphrodite;Poetry;1-3;Bartczak (2021: 79);"Hence images such as the one from “Aphrodite” where “A woman exposed as rock / has this advantage: / she controls the harbor” (First Four 141). On the surface, this can be a metaphor of a psychological defense against patriarchal oppression; but read in the context of the entire metaphysical system of this poetry, it is an image of the female subject divesting herself of sexuality which is seen as barren and “wounded,” always-already possessed by the big Other, which is death 
itself."; visual;PF (exposed, as);WOMAN IS ROCK;" (she; this)";(text-initial);;18;12;56;3;6,6;6,606;S2-O2
094;Or how the tree that formerly had white fruit / Now bears black ones, because they were sprinkled with blood;;Donec idem passa est. An, quae poma alba ferebat, / Ut nunc nigra ferat contactu sanguinis arbor;Ovid;Metamorphoses (Pyramus and Thisbe, Book IV);Poetry;51-52;van Peer and Chesnokova (2023: 144);And then this image is taken up at the end of the poem:;visual;;TREE IS ANIMAL/PERSON; (now);;;30;16;79;2;6,7;6,69;L3-B1